#;NAME;RAJ;DECJ;F0;F1;DIST;EDOT;
;;(hms);(dms);(Hz);(s^-2);(kpc);(ergs/s);
1751;B1830-08;18:33:40.3;-08:27:31.2;11.725494;-1.261e-12;4.50;5.84e+35;
1752;J1833-0831;18:33:44.3;-08:31:07.7;0.132181;-6.000e-14;*;3.13e+32;
1753;J1833-1034;18:33:33.5;-10:34:07.5;16.159357;-5.275e-11;4.10;3.37e+37;
1754;J1833-1055;18:33:58.4;-10:55:31;1.578182;-1.312e-15;8.44;8.17e+31;
1755;B1828-60;18:33:14.8;-60:23:04;0.529259;-7.563e-17;1.85;1.58e+30;
1756;B1831-00;18:34:17.2;-00:10:53.3;1.919554;-3.880e-17;2.64;2.94e+30;
1757;J1834-0031;18:34:51.0;-00:31:34.3;3.034607;-4.131e-15;4.35;4.95e+32;
1758;B1831-04;18:34:25.6;-04:26:15.8;3.446990;-8.549e-16;2.30;1.16e+32;
1759;J1834-0602;18:34:37.9;-06:02:35;2.049543;-7.680e-15;6.60;6.21e+32;
1760;J1834-0633;18:34:29.2;-06:33:01.1;3.151444;-6.000e-15;9.36;7.46e+32;
1761;J1834-0731;18:34:16.0;-07:31:07;1.949394;-2.212e-13;4.76;1.70e+34;
1762;J1834-0742;18:34:31.3;-07:42:20.6;1.268466;-5.224e-14;6.91;2.62e+33;
1763;J1834-0812;18:34:29.8;-08:12:00;2.036073;-4.129e-14;10.34;3.32e+33;
1764;J1834-0845;18:34:52.1;-08:45:56.0;0.402852;-1.292e-12;*;2.05e+34;
1765;J1834-09;18:34:36;-09:15;1.951877;*;6.88;*;
1766;J1834+10;18:34:27;+10:44;0.852719;*;3.18;*;
1767;J1834-1202;18:34:23.1;-12:02:26.4;1.638649;-1.810e-17;6.28;1.17e+30;
1768;J1834-1710;18:34:53.4;-17:10:50;2.790910;-3.653e-16;3.53;4.03e+31;
1769;J1834-1855;18:34:45.9;-18:55:59;0.682288;-8.990e-16;6.21;2.42e+31;
1770;J1835-0114;18:35:21.9;-01:14:33.6;195.450398;-2.674e-16;2.67;2.06e+33;
1771;J1835-0349;18:35:12.9;-03:49:09.9;1.187840;-4.315e-15;5.25;2.02e+32;
1772;J1835-0522;18:35:08.1;-05:22:08;0.919330;-4.000e-16;7.13;1.45e+31;
1773;B1832-06;18:35:05.5;-06:43:06.4;3.269789;-4.325e-13;6.44;5.58e+34;
1774;J1835-0924;18:35:38.0;-09:24:27;1.163884;-2.898e-14;6.62;1.33e+33;
1775;J1835-09242;18:35:21.8;-09:24:15.9;4.250816;-2.139e-16;6.85;3.59e+31;
1776;J1835-0928;18:35:22.2;-09:28:02;1.608405;-2.507e-15;6.36;1.59e+32;
1777;J1835-0944;18:35:46.6;-09:44:29;6.880095;-2.078e-13;4.67;5.64e+34;
1778;J1835-0946;18:35:44.8;-09:46:38;2.634795;-3.000e-16;4.04;3.12e+31;
1779;J1835-1020;18:35:57.5;-10:20:04.8;3.306352;-6.470e-14;2.57;8.45e+33;
1780;J1835-1106;18:35:18.2;-11:06:15.1;6.027474;-7.488e-13;3.08;1.78e+35;
1781;J1835-1548;18:35:50.3;-15:48:38;1.491456;-3.870e-15;15.04;2.28e+32;
1782;J1835-3259A;18:35:44;-32:59:25;257.135510;*;10.70;*;
1783;B1834-04;18:36:51.7;-04:36:37.6;2.822973;-1.324e-14;4.62;1.48e+33;
1784;J1836-0517;18:36:25.2;-05:17:35;2.187011;-6.227e-15;8.08;5.38e+32;
1785;B1834-10;18:36:53.9;-10:08:08.3;1.777112;-3.726e-14;5.39;2.61e+33;
1786;J1836-11;18:36:06;-11:17;2.015344;*;6.01;*;
1787;J1836-1324;18:36:52.2;-13:24:33.6;5.594207;-3.244e-14;3.91;7.16e+33;
1788;J1836-2354A;18:36:25.4;-23:54:52.3;298.121588;-2.060e-16;3.20;2.42e+33;
1789;J1836-2354B;18:36:24.3;-23:54:28.7;309.379715;4.594e-17;3.20;*;
1790;J1836+5925;18:36:13.6;+59:25:30.1;5.771545;-5.002e-14;*;1.14e+34;
1791;J1837-0045;18:37:32.1;-00:45:10.6;1.620649;-4.424e-15;2.55;2.83e+32;
1792;J1837+0053;18:37:28.4;+00:53:13;2.111877;-1.680e-16;3.24;1.40e+31;
1793;J1837-0559;18:37:23.6;-05:59:28.3;4.973576;-8.175e-14;5.01;1.61e+34;
1794;J1837-0604;18:37:43.5;-06:04:49;10.384841;-4.872e-12;6.19;2.00e+36;
1795;B1834-06;18:37:14.6;-06:53:02.1;0.524712;-2.126e-16;4.93;4.40e+30;
1796;J1837-08;18:37:43;-08:20:04;0.909918;*;7.04;*;
1797;J1837+1221;18:37:07.1;+12:21:54.0;0.509286;-1.608e-15;6.10;3.23e+31;
1798;J1837-1243;18:37:09.4;-12:43:56;0.533044;-1.037e-14;7.51;2.18e+32;
1799;J1837-1837;18:37:54.2;-18:37:08;1.617187;-1.437e-14;3.04;9.18e+32;
1800;J1838-01;18:38:30;-01:01;5.455692;*;6.88;*;
1801;J1838-0107;18:38:39.4;-01:07:48.6;2.250095;-2.764e-17;5.83;2.46e+30;
1802;J1838-0453;18:38:11.1;-04:53:23;2.625838;-7.975e-13;8.28;8.27e+34;
1803;J1838-0537;18:38:56.0;-05:37:09;6.863053;-2.222e-11;*;6.02e+36;
1804;J1838-0549;18:38:38.0;-05:49:12;4.249836;-6.038e-13;4.73;1.01e+35;
1805;J1838-0624;18:38:51.7;-06:24:54;1.078542;-9.000e-17;5.82;3.83e+30;
1806;J1838-0655;18:38:03.1;-06:55:33.4;14.184750;-9.909e-12;6.60;5.55e+36;
1807;J1838-1046;18:38:26.4;-10:46:57;0.820780;-2.075e-15;4.35;6.72e+31;
1808;J1838+1650;18:38:43.0;+16:50:16.0;0.525771;-7.400e-16;1.84;1.54e+31;
1809;J1838-1849;18:38:33.7;-18:49:59;2.048165;-1.678e-16;6.30;1.36e+31;
1810;J1839-01;18:39:53;-01:36;1.073077;*;5.89;*;
1811;J1839-0223;18:39:58.0;-02:23:09.5;0.789397;-2.968e-15;5.78;9.25e+31;
1812;J1839-0321;18:39:37.5;-03:21:10.5;4.187994;-2.196e-13;6.82;3.63e+34;
1813;J1839-0332;18:39:56.5;-03:32:58.6;0.373736;-6.649e-16;4.24;9.81e+30;
1814;J1839-0402;18:39:51.0;-04:02:24.9;1.919608;-2.835e-14;4.69;2.15e+33;
1815;J1839-0436;18:39:00.0;-04:36:57.5;6.690724;-3.624e-14;4.98;9.57e+33;
1816;J1839-0459;18:39:42.6;-04:59:58.8;1.708470;-9.655e-15;4.59;6.51e+32;
1817;J1839-0627;18:39:20.4;-06:27:34;2.062223;-5.600e-16;2.33;4.56e+31;
1818;J1839-0643;18:39:09.8;-06:43:45.2;2.224456;-1.800e-14;6.55;1.58e+33;
1819;J1839-0905;18:39:53.4;-09:05:14.8;2.386812;-1.483e-13;6.14;1.40e+34;
1820;J1839-1238;18:39:43.7;-12:38:40.7;0.523169;-1.354e-15;4.18;2.80e+31;
1821;J1839+15;18:39:00;+15:00:00;1.820961;-8.664e-14;3.94;6.23e+33;
1822;J1840+0214;18:40:34.0;+02:14:54.7;1.253953;-1.304e-14;5.42;6.46e+32;
1823;J1840-04;18:40:49;-04:38:27;2.367985;*;5.52;*;
1824;J1840-0559;18:40:23.1;-05:59:16.2;1.163645;-1.300e-14;5.04;5.97e+32;
1825;J1840-0626;18:40:16.3;-06:26:15.4;0.528164;-6.424e-15;8.99;1.34e+32;
1826;J1840-0643;18:40:09.4;-06:43:47;28.107356;-1.740e-13;6.73;1.93e+35;
1827;J1840-0753;18:40:47.6;-07:53:32;2.283788;-5.216e-16;11.71;4.70e+31;
1828;J1840-0809;18:40:33.3;-08:09:03.3;1.046384;-2.574e-15;5.77;1.06e+32;
1829;J1840-0815;18:40:13.7;-08:15:10.6;0.912043;-2.009e-15;4.50;7.23e+31;
1830;J1840-0840;18:40:51.9;-08:40:29;0.188346;-8.400e-16;4.94;6.25e+30;
1831;J1840-1122;18:40:24.0;-11:22:10.7;1.062743;-7.238e-15;8.30;3.04e+32;
1832;J1840-1207;18:40:53.7;-12:07:32.6;1.325433;-5.617e-15;9.59;2.94e+32;
1833;J1840-1419;18:40:32.9;-14:19:05;0.151571;-1.454e-16;1.01;8.70e+29;
1834;B1839+56;18:40:44.6;+56:40:55.4;0.605011;-5.472e-16;2.61;1.31e+31;
1835;J1841+0130;18:41:17.7;+01:30:16.9;33.587732;-9.220e-15;3.19;1.22e+34;
1836;J1841-0157;18:41:56.2;-01:57:54.6;1.507565;-4.108e-14;7.27;2.45e+33;
1837;J1841-0310;18:41:25.8;-03:10:21;0.603261;-1.220e-16;4.50;2.91e+30;
1838;J1841-0345;18:41:38.6;-03:48:42.6;4.900325;-1.390e-12;4.15;2.69e+35;
1839;B1838-04;18:41:05.6;-04:25:19.5;5.372045;-1.845e-13;5.17;3.91e+34;
1840;J1841-0456;18:41:19.3;-04:56:11.1;0.084825;-2.944e-13;9.60;9.86e+32;
1841;J1841-0500;18:41:18.1;-05:00:19.5;1.095393;-4.170e-14;6.77;1.80e+33;
1842;J1841-0524;18:41:49.3;-05:24:29.5;2.243415;-1.176e-12;4.89;1.04e+35;
1843;B1839+09;18:41:55.9;+09:12:07.3;2.622474;-7.499e-15;2.49;7.76e+32;
1844;J1841-1404;18:41:34.3;-14:04:19;0.749312;-3.600e-16;10.85;1.06e+31;
1845;J1841-7845;18:41:25.9;-78:45:15;2.828034;-1.280e-15;4.01;1.43e+32;
1846;J1842-0153;18:42:57.8;-01:53:26.7;0.948561;-6.048e-15;6.49;2.26e+32;
1847;J1842+0257;18:42:30.9;+02:57:58.8;0.323807;-3.103e-15;3.93;3.97e+31;
1848;J1842-0309;18:42:19.0;-03:09:46;2.469626;-2.756e-14;11.41;2.69e+33;
1849;J1842+0358;18:42:17.0;+03:58:35.3;4.285845;-1.491e-14;3.21;2.52e+33;
1850;B1839-04;18:42:26.4;-03:59:59.8;0.543495;-1.503e-16;4.15;3.22e+30;
1851;J1842-0415;18:42:11.2;-04:15:38.2;1.898678;-7.908e-14;4.02;5.93e+33;
1852;J1842-0612;18:42:43.0;-06:12:36;1.771556;-6.900e-17;7.01;4.83e+30;
1853;J1842+0638;18:42:10.0;+06:38:15.0;3.194721;-7.760e-16;11.04;9.79e+31;
1854;J1842-0800;18:42:54.9;-08:00:53.5;0.796515;-1.231e-16;4.23;3.87e+30;
1855;J1842-0905;18:42:22.1;-09:05:24.6;2.901555;-8.834e-14;7.41;1.01e+34;
1856;J1842+1332;18:42:29.9;+13:32:01.5;2.120425;-1.030e-15;5.90;8.62e+31;
1857;J1843-0000;18:43:27.9;-00:00:40.9;1.135937;-1.005e-14;2.73;4.51e+32;
1858;J1843-0050;18:43:36.7;-00:50:10;1.277794;-4.070e-16;7.73;2.05e+31;
1859;J1843-0137;18:43:12.6;-01:37:46.3;1.492822;-5.500e-15;7.13;3.24e+32;
1860;J1843-0211;18:43:30.3;-02:11:02.8;0.493212;-3.513e-15;6.34;6.84e+31;
1861;J1843-0355;18:43:06.6;-03:55:56;7.557801;-5.938e-14;8.81;1.77e+34;
1862;J1843-0408;18:43:43.4;-04:08:04;1.278881;-3.910e-15;4.68;1.97e+32;
1863;J1843-0459;18:43:27.6;-04:59:30.4;1.324568;-1.499e-15;6.15;7.84e+31;
1864;J1843-0510;18:43:09.7;-05:10:04.5;1.488951;-8.629e-15;4.72;5.07e+32;
1865;J1843-0702;18:43:22.4;-07:02:54.6;5.218824;-5.829e-14;4.57;1.20e+34;
1866;J1843-0744;18:43:05.4;-07:44:30.1;2.103525;-5.887e-14;5.77;4.89e+33;
1867;J1843-0806;18:43:28.7;-08:06:44.9;1.864233;-6.033e-14;4.55;4.44e+33;
1868;J1843-1113;18:43:41.2;-11:13:31.0;541.809754;-2.815e-15;1.97;6.02e+34;
1869;J1843-1448;18:43:01.3;-14:48:12.6;182.770888;-2.074e-16;3.42;1.50e+33;
1870;J1843-1507;18:43:33.6;-15:07:03.0;1.713648;-2.114e-14;9.05;1.43e+33;
1871;J1843+2024;18:43:26.1;+20:24:54.6;0.293553;-8.962e-17;7.72;1.04e+30;
1872;J1844+00;18:44:11;+00:35;2.171539;*;6.78;*;
1873;J1844-0030;18:44:41.0;-00:30:25.8;1.559824;-1.479e-14;8.66;9.11e+32;
1874;J1844+0115;18:44:40.5;+01:15:34.9;238.917573;-6.120e-16;3.45;5.77e+33;
1875;J1844-02;18:44:53;-02:56;3.663500;*;8.77;*;
1876;B1842-02;18:44:44.9;-02:44:40.9;1.969581;-6.494e-14;5.99;5.05e+33;
1877;J1844-0256;18:44:54.6;-02:56:53.1;0.143446;*;*;*;
1878;J1844-0302;18:44:06.9;-03:02:11.2;0.834286;-5.435e-15;6.80;1.79e+32;
1879;J1844-0310;18:44:45.4;-03:10:37.1;1.904584;-3.713e-14;8.88;2.79e+33;
1880;B1841-04;18:44:33.4;-04:33:12.4;1.009055;-3.986e-15;2.78;1.59e+32;
1881;J1844-0452;18:44:01.5;-04:52:20.9;3.711356;-9.370e-15;8.06;1.37e+33;
1882;J1844-0502;18:44:33.9;-05:02:00.5;2.983627;-5.500e-16;5.20;6.48e+31;
1883;B1841-05;18:44:05.1;-05:38:34.1;3.910844;-1.484e-13;6.18;2.29e+34;
1884;B1842+14;18:44:54.8;+14:54:14.1;2.663376;-1.328e-14;2.61;1.40e+33;
1885;J1845-0316;18:45:52.9;-03:16:05;4.816127;-2.055e-13;6.53;3.91e+34;
1886;B1842-04;18:45:34.7;-04:34:29.8;2.054439;-4.780e-14;4.61;3.88e+33;
1887;J1845-0545;18:45:38.4;-05:45:18.2;0.915459;-1.126e-14;5.39;4.07e+32;
1888;J1845+0623;18:45:08.5;+06:23:57.6;0.703406;-2.700e-16;3.53;7.50e+30;
1889;J1845-0635;18:45:07.4;-06:35:23.4;2.936619;-3.873e-14;7.56;4.49e+33;
1890;J1845-0743;18:45:57.1;-07:43:38.4;9.551596;-3.345e-14;5.85;1.26e+34;
1891;J1845-0826;18:45:05.6;-08:26:39.7;1.576406;-2.324e-14;4.87;1.45e+33;
1892;J1845-1114;18:45:45.7;-11:14:11.0;4.849191;-4.716e-14;5.82;9.03e+33;
1893;J1845-1351;18:45:11.5;-13:51:54.5;0.381837;-1.418e-15;7.10;2.14e+31;
1894;J1846+0051;18:46:43.8;+00:51:39.0;2.302170;-5.950e-14;3.20;5.41e+33;
1895;J1846-0257;18:46:15.4;-02:57:36.0;0.223378;-8.013e-15;4.69;7.07e+31;
1896;J1846-0258;18:46:24.9;-02:58:30.1;3.062119;-6.664e-11;5.80;8.06e+36;
1897;J1846-0749;18:46:19.7;-07:49:21.4;2.856249;-1.029e-14;10.10;1.16e+33;
1898;J1846-07492;18:46:07.9;-07:49:13.2;1.160928;-6.991e-15;4.47;3.20e+32;
1899;J1846+0919;18:46:26.0;+09:19:46;4.433578;-1.951e-13;*;3.41e+34;
1900;J1846-7403;18:46:13.7;-74:03:04;0.204967;-2.546e-16;4.07;2.06e+30;
1901;J1847-0130;18:47:35.2;-01:30:46;0.149097;-2.834e-14;7.64;1.67e+32;
1902;B1844-04;18:47:22.8;-04:02:14.1;1.672887;-1.447e-13;3.12;9.56e+33;
1903;J1847-0427;18:47:18.8;-04:27:59;3.857331;-8.779e-17;4.17;1.34e+31;
1904;J1847-0438;18:47:37.9;-04:38:15.3;1.043851;-1.191e-14;4.72;4.91e+32;
1905;J1847-0443;18:47:51.8;-04:43:36.2;2.933996;-2.440e-16;7.57;2.83e+31;
1906;J1847-0605;18:47:21.0;-06:05:14.1;1.285076;-7.671e-15;4.59;3.89e+32;
1907;J1848-0023;18:48:37.8;-00:23:17;1.860037;-5.570e-15;1.55;4.09e+32;
1908;J1848-0055;18:48:45.5;-00:55:53;3.642235;-1.790e-14;15.15;2.57e+33;
1909;B1845-01;18:48:23.5;-01:23:58.2;1.516456;-1.208e-14;4.40;7.23e+32;
1910;J1848+0351;18:48:42.2;+03:51:35.7;5.223496;-1.836e-15;10.53;3.79e+32;
1911;J1848-0511;18:48:15.0;-05:11:38;0.610825;-3.307e-15;7.78;7.97e+31;
1912;J1848-0601;18:48:20.3;-06:01:07.7;4.444356;-5.671e-15;12.13;9.95e+32;
1913;J1848+0604;18:48:54.6;+06:04:46.8;0.450734;-7.590e-16;8.78;1.35e+31;
1914;J1848+0647;18:48:56.0;+06:47:31.7;1.976454;-3.419e-14;1.44;2.67e+33;
1915;J1848+0826;18:48:43.7;+08:26:35.9;3.042614;-2.519e-15;3.37;3.03e+32;
1916;J1848-1150;18:48:11.8;-11:50:09.2;0.762068;-8.327e-16;4.77;2.51e+31;
1917;J1848-12;18:48:02;-12:47;0.147161;*;2.43;*;
1918;J1848+12;18:48:30;+12:50;1.324977;*;7.47;*;
1919;J1848-1414;18:48:39.1;-14:14:17;3.358302;-1.589e-16;4.39;2.11e+31;
1920;B1845-19;18:48:18.0;-19:52:31;0.232116;-1.254e-15;0.95;1.15e+31;
1921;J1849-0001;18:49:01.6;-00:01:17.6;25.961252;-9.587e-12;*;9.83e+36;
1922;J1849-0040;18:49:10.2;-00:40:20;1.487032;-2.464e-14;20.86;1.45e+33;
1923;J1849+0127;18:49:44.1;+01:27:23;1.844489;-9.515e-14;4.54;6.93e+33;
1924;J1849-0317;18:49:57.8;-03:17:31;1.496093;-4.931e-14;1.90;2.91e+33;
1925;J1849+0409;18:49:03.4;+04:09:42.3;1.313725;-3.726e-14;2.41;1.93e+33;
1926;J1849-0614;18:49:45.1;-06:14:31.5;1.048895;-5.929e-14;2.84;2.46e+33;
1927;B1846-06;18:49:06.4;-06:37:06.9;0.689028;-2.195e-14;3.68;5.97e+32;
1928;J1849+2423;18:49:34.6;+24:23:45.9;3.627901;-2.008e-15;4.02;2.88e+32;
1929;J1850-0006;18:50:47.9;-00:06:26.1;0.456309;-8.995e-16;7.21;1.62e+31;
1930;J1850-0026;18:50:14.7;-00:26:11.6;6.001179;-1.408e-12;10.69;3.34e+35;
1931;J1850+0026;18:50:45.1;+00:26:25.6;0.924348;-3.070e-16;4.27;1.12e+31;
1932;J1850-0031;18:50:33.3;-00:31:09;1.362055;-2.344e-15;9.98;1.26e+32;
1933;J1850+0124;18:50:01.0;+01:24:34.6;280.917517;-8.600e-16;2.97;9.54e+33;
1934;J1850+0242;18:50:41.6;+02:42:57.4;223.221060;-8.100e-15;13.10;7.14e+34;
1935;J1850+0423;18:50:23.4;+04:23:09.2;3.439781;-1.081e-15;7.38;1.47e+32;
1936;B1848+13;18:50:35.4;+13:35:58.3;2.893670;-1.250e-14;3.14;1.43e+33;
1937;J1850+15;18:50:09;+15:32;0.722562;*;1.30;*;
1938;J1851-0029;18:51:55.0;-00:29:58.1;1.927817;-1.761e-14;6.86;1.34e+33;
1939;J1851-0053;18:51:03.1;-00:53:07.3;0.709690;-4.400e-16;1.24;1.23e+31;
1940;J1851-0114;18:51:16.4;-01:14:13.4;1.049118;-2.733e-15;6.28;1.13e+32;
1941;J1851+0118;18:51:52.1;+01:18:59;1.102564;-1.662e-13;6.75;7.23e+33;
1942;J1851+0232;18:51;+02:32;2.906808;*;14.80;*;
1943;J1851-0241;18:51:15.2;-02:41:31;2.297827;-4.205e-14;7.62;3.81e+33;
1944;B1848+04;18:51:03.2;+04:18:12.0;3.512500;-1.344e-14;3.17;1.86e+33;
1945;B1848+12;18:51:13.2;+12:59:35.2;0.829667;-7.930e-15;3.50;2.60e+32;
1946;J1852+0008;18:52:42.7;+00:08:09.6;2.137236;-2.594e-14;5.10;2.19e+33;
1947;J1852+0013;18:52:41.7;+00:13:57.1;1.044113;-1.530e-14;7.22;6.31e+32;
1948;B1849+00;18:52:27.4;+00:32:02;0.458675;-2.040e-14;8.00;3.69e+32;
1949;J1852+0033;18:52:46.6;+00:33:20.9;0.086515;-0.000e+00;*;*;
1950;J1852+0040;18:52:38.5;+00:40:19.8;9.531743;-7.886e-16;10.00;2.97e+32;
1951;J1852-0118;18:52:17.1;-01:18:14.8;2.214973;-8.620e-15;5.40;7.54e+32;
1952;J1852-0127;18:52:03.6;-01:27:23.4;2.331117;-2.798e-14;6.43;2.57e+33;
1953;J1852+0305;18:52:32.6;+03:05:05;0.754063;-5.800e-17;6.73;1.73e+30;
1954;J1852-0635;18:52:57.3;-06:35:57;1.907848;-5.327e-14;4.60;4.01e+33;
1955;J1852-2610;18:52:59.4;-26:10:12.7;2.973207;-7.753e-16;2.26;9.10e+31;
1956;J1853-0004;18:53:23.0;-00:04:32.3;9.858458;-5.418e-13;6.58;2.11e+35;
1957;J1853+0011;18:53:29.9;+00:11:29.7;2.513309;-2.119e-13;7.48;2.10e+34;
1958;J1853+0056;18:53:32.6;+00:56:59;3.628742;-2.816e-13;3.82;4.03e+34;
1959;J1853+03;18:53;+03:00;1.707854;*;6.11;*;
1960;J1853+0505;18:53:04.3;+05:05:26.1;1.104805;-1.563e-15;7.54;6.82e+31;
1961;J1853+0545;18:53:58.4;+05:45:55.2;7.911372;-3.834e-14;4.77;1.20e+34;
1962;J1853-0649;18:53:25.4;-06:49:25.9;0.954078;-1.409e-15;1.89;5.31e+31;
1963;J1853+0853;18:53:22.0;+08:53:17;0.255450;-3.350e-16;7.54;3.38e+30;
1964;J1853+1303;18:53:57.3;+13:03:44.0;244.391378;-5.206e-16;1.60;5.02e+33;
1965;J1854+00;18:54;+00:00;1.303220;*;7.31;*;
1966;J1854+0306;18:54:02.9;+03:06:14;0.219403;-6.986e-15;4.11;6.05e+31;
1967;J1854+0317;18:54:29.0;+03:17:31;0.731824;-9.908e-16;7.95;2.86e+31;
1968;B1852+10;18:54:29.3;+10:46:42;1.744601;-1.944e-15;8.27;1.34e+32;
1969;B1851-14;18:54:44.2;-14:21:26.4;0.872148;-3.165e-15;5.23;1.09e+32;
1970;J1854-1557;18:54:53.6;-15:57:22;0.289586;-3.790e-16;11.75;4.33e+30;
1971;J1855+0205;18:55:42.0;+02:05:36.4;4.051589;-1.061e-15;16.48;1.70e+32;
1972;J1855+0307;18:55:26.6;+03:07:20.2;1.182945;-2.534e-14;7.45;1.18e+33;
1973;J1855+0422;18:55:41.3;+04:22:47;0.595910;-3.300e-16;9.85;7.76e+30;
1974;J1855+0527;18:55:15.0;+05:27:40.7;0.717626;-1.376e-13;9.70;3.90e+33;
1975;J1855+0700;18:55:17.7;+07:00:37.1;3.865711;-1.123e-14;6.84;1.71e+33;
1976;J1855-0941;18:55:15.6;-09:41:02;2.895184;-2.012e-15;4.87;2.30e+32;
1977;J1856+0102;18:56:28.5;+01:02:10.6;1.612339;-3.176e-15;8.61;2.02e+32;
1978;B1853+01;18:56:10.6;+01:13:21.3;3.739162;-2.913e-12;3.30;4.30e+35;
1979;J1856+0245;18:56:50.9;+02:45:47;12.359917;-9.489e-12;10.29;4.63e+36;
1980;J1856+0404;18:56:26.6;+04:04:26;2.379524;-2.100e-16;6.98;1.97e+31;
1981;J1856-0526;18:56:21.9;-05:26:56.8;2.699176;-1.237e-14;3.45;1.32e+33;
1982;J1856-3754;18:56:35.4;-37:54:08;0.141739;-5.980e-16;0.16;3.35e+30;
1983;B1854+00;18:57:00.8;+00:57:16.8;2.801678;-4.285e-16;2.63;4.74e+31;
1984;J1857+0143;18:57:33.0;+01:43:47.0;7.155120;-1.596e-12;5.18;4.51e+35;
1985;J1857+0210;18:57:40.9;+02:10:58;1.584829;-3.525e-14;15.01;2.21e+33;
1986;B1855+02;18:57:43.6;+02:12:41.1;2.404869;-2.329e-13;8.00;2.21e+34;
1987;J1857+0526;18:57:15.8;+05:26:28.7;2.857541;-5.660e-14;11.44;6.38e+33;
1988;J1857+0809;18:57:09.3;+08:09:04.3;1.988373;-1.873e-14;8.72;1.47e+33;
1989;B1855+09;18:57:36.3;+09:43:17.2;186.494078;-6.204e-16;0.70;4.57e+33;
1990;J1857-1027;18:57:26.4;-10:27:01;0.271207;-7.760e-16;3.64;8.31e+30;
1991;J1858+02;18:58;+02:00;5.059449;*;8.51;*;
1992;J1858+0215;18:58:17.4;+02:15:38;1.340792;-8.290e-15;12.46;4.39e+32;
1993;J1858+0241;18:58:53.8;+02:41:38;0.213073;-1.104e-15;6.46;9.29e+30;
1994;J1858+0346;18:58:22.3;+03:46:37.8;3.893417;-3.093e-14;7.28;4.75e+33;
1995;J1858-0736;18:58:44.3;-07:37;1.814689;-1.666e-14;7.20;1.19e+33;
1996;J1858-2216;18:58;-22:16;420.168067;*;1.35;*;
1997;J1859+00;18:59:46;+00:35;1.786882;*;8.91;*;
1998;J1859+0601;18:59:45.7;+06:01:46.1;0.957568;-2.339e-14;5.98;8.84e+32;
1999;J1859+1526;18:59:44.3;+15:26:11.0;1.070696;-4.500e-15;4.76;1.90e+32;
2000;J1859+76;18:59;+76:54;0.717557;*;4.02;*;
2001;J1900-0051;19:00:46.6;-00:51:08.4;2.596094;-9.580e-16;3.30;9.82e+31;
2002;J1900+0227;19:00:38.6;+02:27:32.0;2.671928;-4.073e-14;4.32;4.30e+33;
2003;J1900+0308;19:00:50.5;+03:08:24.0;203.697558;-2.450e-16;5.27;1.97e+33;
2004;J1900+0634;19:00:28.0;+06:34:20.9;2.564963;-3.372e-14;7.31;3.41e+33;
2005;J1900-09;19:00:14;-09:28:07;0.702247;*;5.76;*;
2006;B1857-26;19:00:47.5;-26:00:43.8;1.633429;-5.457e-16;0.70;3.52e+31;
2007;J1900+30;19:00:18;+30:53;1.660503;*;4.56;*;
2008;B1851-79;19:00:24.4;-79:51:48.2;0.781743;-1.137e-15;3.87;3.51e+31;
2009;J1901+00;19:01:32;+00:26;1.285906;*;8.15;*;
2010;J1901+0124;19:01:52.5;+01:24:49.3;3.136593;-3.189e-14;7.20;3.95e+33;
2011;B1859+01;19:01:34.2;+01:56:38.2;3.469582;-2.838e-14;2.96;3.89e+33;
2012;J1901+0235;19:01;+02:35;1.129637;*;8.33;*;
2013;J1901+0254;19:01:15.6;+02:54:41;0.769412;-2.700e-16;3.95;8.20e+30;
2014;J1901+0300;19:01:59.6;+03:00:23.3;128.258137;-7.520e-16;5.50;3.81e+33;
2015;J1901-0312;19:01:15.6;-03:12:29.5;2.811159;-1.811e-14;2.89;2.01e+33;
2016;J1901-0315;19:01:16.3;-03:15:14.3;1.247360;-4.000e-15;6.95;1.97e+32;
2017;J1901+0320;19:01:03.0;+03:20:18;1.570883;-1.290e-15;7.74;8.00e+31;
2018;B1859+03;19:01:31.7;+03:31:05.9;1.525669;-1.736e-14;7.00;1.05e+33;
2019;J1901+0355;19:01:30.8;+03:55:58.9;1.802593;-4.140e-14;10.18;2.95e+33;
2020;J1901+0413;19:01:10.3;+04:13:51;0.375505;-1.856e-14;6.91;2.75e+32;
2021;J1901+0435;19:01:32.2;+04:35:23;1.448066;-1.819e-14;30.00;1.04e+33;
2022;J1901+0459;19:01;+04:59;1.140173;*;30.00;*;
2023;J1901+0510;19:01:57.8;+05:10:34;1.626660;-8.229e-14;8.47;5.28e+33;
2024;J1901+0621;19:01:05.9;+06:21:19;1.201920;-2.600e-17;3.11;1.23e+30;
2025;B1859+07;19:01:38.9;+07:16:34.8;1.552798;-5.515e-15;3.40;3.38e+32;
2026;J1901-0906;19:01:53.0;-09:06:10.8;0.561190;-5.160e-16;2.42;1.14e+31;
2027;J1901+1306;19:01:48.7;+13:06:48.3;0.546192;-3.908e-17;3.53;8.43e+29;
2028;J1901-1740;19:01:18.0;-17:40:00;0.511023;-2.149e-16;1.27;4.34e+30;
2029;J1902+02;19:02;+02:00;2.407782;*;6.37;*;
2030;J1902+0248;19:02:50.2;+02:48:56;0.817142;-1.606e-15;6.09;5.18e+31;
2031;J1902-0340;19:02:50.7;-03:40:18;0.655879;-8.600e-16;3.13;2.23e+31;
